Actual,Predicted,Object_0,Object_1,Object_2,Object_3,Object_4,Object_5,Object_6,Object_7,Object_8,Object_9,Object_10,Object_11,Object_12,Object_13,Object_14
49,49,0.07979733,0.0003104131,0.0002171195,0.00017970988,0.0021854553,0.042684577,0.004715573,0.007839548,0.0005873861,0.06379072,0.11096393,0.07563998,0.11440375,0.3038271,0.1928574
50,50,0.0027965917,0.11321382,0.12216329,0.11826056,0.17571224,0.11167379,0.024879871,0.005304869,0.0055968096,0.0031789364,0.06734217,0.03783933,0.0021456277,0.06530925,0.14458285
51,51,0.09231453,0.0015567133,0.0018813123,0.0009151933,0.0011636975,0.00063357624,0.035758212,0.078046456,0.043376286,0.116172776,0.14293782,0.13405904,0.06231578,0.13091692,0.15795165
52,52,0.017168822,0.17531204,0.115416385,0.0074830083,0.0007572169,0.0004601218,0.019510116,0.008289095,0.037868105,0.014351751,0.12592907,0.07995124,0.023527263,0.15981954,0.2141563
53,53,0.0033257015,0.15523574,0.15407328,0.094177894,0.023508351,0.0044276915,0.26896253,0.027881019,0.018988596,0.002447002,0.071356796,0.058158543,0.0028198592,0.06316106,0.051475886
54,54,0.013302715,8.775794e-06,6.239645e-06,5.3760173e-06,3.9609302e-05,0.0025096012,0.0013151456,0.03484577,0.031630095,0.0072608436,0.12501131,0.17881796,0.026823152,0.29987937,0.2785441
55,57,0.0017063898,0.056621186,0.06495886,0.049537223,0.017121825,0.27676848,0.015508242,0.0039259153,0.40969986,0.0012136196,0.03000697,0.020928323,0.0014762533,0.028938295,0.021588521
56,56,0.0021954777,0.055226706,0.007239541,0.0037804167,0.0016978689,0.01596788,0.18161495,0.15678048,0.045064498,0.0016264969,0.12729199,0.09097677,0.0051610484,0.16024804,0.14512786
57,55,0.017177124,0.15604028,0.1744512,0.110602126,0.028706413,0.002637163,0.013634369,0.0066628726,0.2039294,0.00842162,0.06820628,0.042382747,0.017507805,0.08055624,0.06908438
58,58,0.0009890777,0.00016355845,0.00030235326,0.0011285631,0.15077697,0.22760215,0.00085036136,0.023688044,0.007883769,0.0012492863,0.006814776,0.4402293,0.0015390904,0.03643312,0.100349575
59,59,0.06703954,0.0007331913,0.00061375886,0.00039470484,0.0006979041,0.007090808,0.0037957565,0.045217372,0.14578477,0.04003843,0.25404012,0.08193452,0.07627456,0.17090274,0.10544189
49,49,0.024451757,0.06496642,0.04592187,0.03902905,0.09390603,0.014093784,0.14592119,0.19994387,0.031191437,0.012425961,0.052151807,0.06696728,0.04642828,0.09311248,0.069488704
50,50,0.002999043,0.05934902,0.058656044,0.07177849,0.011381375,0.0013429889,0.11997391,0.22545087,0.0481671,0.0016569422,0.09504817,0.15275055,0.0048400923,0.07601801,0.0705874
51,51,0.07365462,0.014521262,0.008903889,0.0039736987,0.17248422,0.045197718,0.062292866,0.061333098,0.0015877099,0.076413706,0.10737458,0.11991569,0.06662606,0.10348919,0.08223176
52,52,0.025798282,0.078489445,0.13741119,0.005542341,0.00889303,0.007573886,0.014355053,0.093606666,0.1559855,0.010385669,0.10143919,0.07969886,0.030448714,0.13483949,0.1155327
53,53,0.00880465,0.16357246,0.13672297,0.09772823,0.121908255,0.014708301,0.04345915,0.032316737,0.017276125,0.0048018014,0.1259515,0.074084945,0.012280635,0.08410502,0.062279228
54,54,0.008754398,0.00023231123,0.0001104318,0.000100807105,0.0016355641,0.0039592353,0.0083368905,0.07162846,0.25042516,0.0051801405,0.06713491,0.27305743,0.01647035,0.15879266,0.1341813
55,55,0.015885074,0.13616826,0.098716505,0.0688283,0.051217332,0.013863263,0.04075683,0.04488663,0.16930187,0.009108717,0.11320586,0.07544927,0.017492212,0.08622643,0.058893442
56,56,0.002280767,0.058098964,0.111458935,0.0031688577,0.005243053,0.00907818,0.015103277,0.031775717,0.3607249,0.0015189018,0.08231668,0.06412924,0.0039272006,0.06917351,0.18200178
57,57,0.0014706469,0.024572186,0.020542031,0.009637493,0.008998106,0.006617622,0.004628578,0.07625194,0.74662083,0.00094654923,0.02095558,0.02968932,0.0019649237,0.029919652,0.017184548
58,58,0.02779542,0.18002279,0.17187579,0.16100638,0.065951794,0.018338934,0.15643544,0.109193556,0.03049603,0.029262844,0.008448231,0.0038929926,0.023353279,0.007898316,0.0060281884
59,59,0.07444555,0.004806692,0.002054167,0.0027179122,0.003683681,0.010081919,0.014798949,0.051121514,0.09006014,0.062102545,0.22437003,0.09034988,0.08660636,0.17868508,0.104115516
49,50,0.110009775,0.00037594716,0.00024208613,0.0007634404,0.0032932253,0.042373955,0.0011620831,0.0027543164,0.0015756564,0.07491491,0.20715258,0.07578883,0.14243968,0.24160375,0.09554981
50,50,0.012594446,0.06734982,0.048580837,0.052598707,0.12999089,0.013940135,0.057872735,0.045367405,0.06580795,0.013376545,0.1342376,0.1599353,0.014281043,0.10659633,0.077470206
51,51,0.17886986,0.04712085,0.03278934,0.0095362775,0.003761012,8.138714e-05,0.039804373,0.0039143898,0.0044146087,0.14706062,0.122886874,0.1003291,0.06896521,0.14667097,0.093795136
52,52,0.0067298966,0.1765721,0.07319771,0.0029031346,0.00016541536,1.0039863e-05,0.023908688,0.023906112,0.06355353,0.0050969576,0.14170359,0.07953758,0.011362199,0.2135907,0.17776233
53,53,0.003979044,0.19893333,0.16686755,0.15132771,0.08077041,0.0029190178,0.031816904,0.016387602,0.001472641,0.0024240308,0.10321791,0.07740915,0.0045112735,0.09260241,0.06536098
54,54,0.016749911,0.00010229557,4.9730563e-05,3.3118693e-05,0.008165311,0.27950406,0.007390799,0.05729024,0.096482806,0.0064347656,0.129068,0.11190397,0.028528683,0.15432669,0.10396964
55,55,0.0007171741,0.044855587,0.048767727,0.026063282,0.031744994,0.5224596,0.080824226,0.011513295,0.12816189,0.0004361533,0.031008601,0.020704186,0.0008406204,0.029856635,0.022045985
56,56,0.0020122142,0.010685266,0.0007480084,0.00063247484,0.001041444,0.051861923,0.17729776,0.09596565,0.09765499,0.0012405177,0.12545781,0.09684422,0.0059756096,0.16036355,0.17221856
57,57,0.0065028095,0.13349067,0.13178498,0.07564192,0.019398905,0.0010309736,0.03459146,0.057659,0.13989455,0.0036636833,0.11480495,0.07499557,0.0062313247,0.10085744,0.099451765
58,58,0.0006787155,0.00011618032,0.00025054513,0.0005396546,0.19495727,0.09963694,0.0005694737,0.042209335,0.15743512,0.0007827621,0.040677153,0.2142915,0.0012090588,0.081985995,0.16466033
59,59,0.0823261,0.00056078087,0.00030581304,0.00025411663,0.0005763727,0.002614375,0.0041903965,0.020652013,0.15882345,0.03575085,0.23996703,0.1072318,0.11503157,0.18266082,0.049054496
49,51,0.08332518,0.03702254,0.038906593,0.0118608065,0.071204074,0.086256705,0.12803236,0.06673832,0.00090206217,0.054053817,0.08624506,0.07767813,0.09652358,0.08346847,0.07778228
50,50,0.030110493,0.057741374,0.1323253,0.016062621,0.029129287,0.04400795,0.16399567,0.011282437,0.031745143,0.017182566,0.060878664,0.055873558,0.03286238,0.09739913,0.21940337
51,51,0.0733701,0.005927983,0.008272475,0.0038927505,0.1612932,0.0066642067,0.025152635,0.12226402,0.0021973024,0.07902346,0.08579822,0.084449716,0.06593476,0.10759157,0.16816764
52,52,0.067307025,0.13027205,0.20185186,0.012515745,0.007232289,0.02747423,0.032266248,0.07766076,0.027657518,0.03355892,0.07249442,0.06602769,0.07592682,0.090244435,0.077510044
53,53,0.00852613,0.13931765,0.13862926,0.104982,0.06516601,0.005032852,0.25155514,0.043822944,0.0048805852,0.0042876564,0.06017167,0.04449776,0.01188141,0.06972353,0.047525328
54,54,0.09556875,0.00013083869,0.0019985754,4.764892e-05,0.0009625599,0.00021886064,0.0010722035,0.022108307,0.01765408,0.036904626,0.18146566,0.15962735,0.11636996,0.21379371,0.15207697
55,55,0.01486667,0.07683757,0.062191147,0.04945057,0.09820278,0.008623099,0.043422464,0.12380389,0.28043082,0.0072359038,0.07036404,0.036162943,0.019324683,0.06283069,0.046252735
56,56,0.0027790265,0.018558595,0.07104809,0.002056322,0.010910249,0.058140185,0.06340551,0.05196054,0.46632373,0.001737373,0.06638354,0.047439236,0.004197155,0.069372684,0.06568784
57,57,0.0032997094,0.0421858,0.040311385,0.022263952,0.013823976,0.001764019,0.0053243316,0.05219353,0.7044532,0.001809847,0.03326619,0.023248296,0.0036004626,0.02790892,0.024546312
58,58,0.031111363,0.123195894,0.11228926,0.14195272,0.14065771,0.045799002,0.15422231,0.15040414,0.026124856,0.031132288,0.0019772577,0.003292461,0.027248489,0.006296952,0.0042953193
59,59,0.17533134,0.001507358,0.002352403,0.001763192,0.021049784,0.10028648,0.0068145385,0.028186802,0.11636387,0.16240633,0.08123902,0.06674969,0.11697454,0.06178736,0.05718722
